key,title,achievements,effort,kind,key:campaign

# effort MIN-Δ (negative)
milestone-err-05,Valid title,Valid achievements,-1.0,TEASER,campaign-err-05
milestone-err-06,Valid title,Valid achievements,-0.01,ENGAGING,campaign-err-06

# effort format invalid (too many decimals)
milestone-err-07,Valid title,Valid achievements,10000.999,CONVERSION,campaign-err-07

# effort empty (mandatory)
milestone-err-08,Valid title,Valid achievements, ,TEASER,campaign-err-08

# effort blank spaces (whitespace, no vacío)
milestone-err-11,Valid title,Valid achievements,    ,CONVERSION,campaign-err-11

# title MIN-Δ (blank)
milestone-err-01, ,Valid achievements,10.0,TEASER,campaign-err-01

# title MAX+Δ (76 chars)
milestone-err-02,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Valid achievements,10.0,TEASER,campaign-err-02

# title blank spaces (solo espacios)
milestone-err-12,"   ",Valid achievements,10.0,TEASER,campaign-err-12

# achievements MIN-Δ (blank)
milestone-err-03,Valid title, ,10.0,ENGAGING,campaign-err-03

# achievements MAX+Δ (256 chars)
milestone-err-04,Valid title,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,10.0,CONVERSION,campaign-err-04

# achievements blank spaces
milestone-err-13,Valid title,"   ",10.0,ENGAGING,campaign-err-13
