key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:fundraiser

# SUPPORT
strategy-01,FR01-ABCDE,Valid Strategy,Valid description,2026/02/01 10:00,2026/06/01 10:00,http://example.com/ok,FALSE,fundraiser-01

# ERRATA

# ticker invalid
strategy-err-01,,"Valid Name",Valid description,2026/02/01 10:00,2026/06/01 10:00,http://example.com/x,FALSE,fundraiser-01
strategy-err-02,FR01-AAA,"Valid Name",Valid description,2026/02/01 10:00,2026/06/01 10:00,http://example.com/x,FALSE,fundraiser-01
strategy-err-03,fr01-abcde,"Valid Name",Valid description,2026/02/01 10:00,2026/06/01 10:00,http://example.com/x,FALSE,fundraiser-01
strategy-err-04,FR0A-abcde,"Valid Name",Valid description,2026/02/01 10:00,2026/06/01 10:00,http://example.com/x,FALSE,fundraiser-01
strategy-err-05,FR01-aaaa,"Valid Name",Valid description,2026/02/01 10:00,2026/06/01 10:00,http://example.com/x,FALSE,fundraiser-01
strategy-err-06,FR01-aaaaaaaaaaa,"Valid Name",Valid description,2026/02/01 10:00,2026/06/01 10:00,http://example.com/x,FALSE,fundraiser-01

# name invalid
strategy-err-07,FR01-ABCDE1,,Valid description,2026/02/01 10:00,2026/06/01 10:00,http://example.com/x,FALSE,fundraiser-01
strategy-err-08,FR01-ABCDE2,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",Valid description,2026/02/01 10:00,2026/06/01 10:00,http://example.com/x,FALSE,fundraiser-01
strategy-err-09,FR01-ABCDE3,"   ",Valid description,2026/02/01 10:00,2026/06/01 10:00,http://example.com/x,FALSE,fundraiser-01

# description invalid
strategy-err-10,FR01-ABCDE4,Valid Name,,2026/02/01 10:00,2026/06/01 10:00,http://example.com/x,FALSE,fundraiser-01
strategy-err-11,FR01-ABCDE5,Valid Name,"   ",2026/02/01 10:00,2026/06/01 10:00,http://example.com/x,FALSE,fundraiser-01

# moment invalid
strategy-err-12,FR01-ABCDE6,Valid Name,Valid description,2201/01/01 00:00,2201/06/01 10:00,http://example.com/x,FALSE,fundraiser-01
strategy-err-13,FR01-ABCDE7,Valid Name,Valid description,2026/02/01 10:00,2201/01/01 00:00,http://example.com/x,FALSE,fundraiser-01
strategy-err-14,FR01-ABCDE8,Valid Name,Valid description,2026/02/01 10:00,2020/06/01 10:00,http://example.com/x,FALSE,fundraiser-01
strategy-err-15,FR01-ABCDE9,Valid Name,Valid description,2026/06/01 10:00,2026/06/01 10:00,http://example.com/x,FALSE,fundraiser-01

# URL invalid
strategy-err-16,FR01-ABCDF0,Valid Name,Valid description,2026/02/01 10:00,2026/06/01 10:00,http://,FALSE,fundraiser-01

# fundraiser FK missing
strategy-err-17,FR01-ABCDF1,Valid Name,Valid description,2026/02/01 10:00,2026/06/01 10:00,http://example.com/x,FALSE,

# moment invalid - below configured minimum
strategy-err-18,FR01-ABCDF2,Valid Name,Valid description,1999/12/31 23:59,2026/06/01 10:00,http://example.com/x,FALSE,fundraiser-01
strategy-err-19,FR01-ABCDF3,Valid Name,Valid description,2026/02/01 10:00,1999/12/31 23:59,http://example.com/x,FALSE,fundraiser-01

# moment invalid - above configured maximum
