key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:inventor
# base entity
invention-00,IN00-ALPHA00,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv0,true,inventor-01

# ticker - standard variations
invention-01,IN01-ALPHA01,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv0,true,inventor-01
invention-02,IN02-BETA02,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv0,true,inventor-01
invention-03,IN03-GAMMA03,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv0,true,inventor-01
invention-04,IN04-DELTA04,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv0,true,inventor-01
invention-05,IN05-EPSIL05,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv0,true,inventor-01
invention-06,IN06-ZETA06,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv0,true,inventor-01

# name - standard variations
invention-07,IN07-ETA07,A,"Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv7,true,inventor-01
invention-08,IN08-THETA08,AB,"Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv8,true,inventor-01
invention-09,IN09-IOTA09,"Compact Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv9,true,inventor-01
invention-10,IN10-KAPPA10,"Advanced Bio Filter","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv10,true,inventor-01
invention-11,IN11-LAMBD11,"Autonomous Drone Control","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv11,true,inventor-01
invention-12,IN12-MUON12,"โลเร็ม อิปซัม","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv12,true,inventor-01
invention-13,IN13-NUCLE13,"لوريم إيبسوم","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv13,true,inventor-01
invention-14,IN14-XIOME14,"洛伦·伊普森","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv14,true,inventor-01
invention-15,IN15-OMICR15,"Very Long Invention Name For Boundary Testing Purposes","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv15,true,inventor-01
