key,name,description,cost,kind,key:invention
# base entity
part-000,"Sensor Core","Main sensing unit","EUR 120.00",CORE,invention-00

# name - standard variations
part-001,A,"Main sensing unit","EUR 120.00",CORE,invention-00
part-002,AB,"Main sensing unit","EUR 120.00",CORE,invention-00
part-003,"Core","Main sensing unit","EUR 120.00",CORE,invention-00
part-004,"Battery Pack","Main sensing unit","EUR 120.00",CORE,invention-00
part-005,"Navigation Sensors","Main sensing unit","EUR 120.00",CORE,invention-00
part-006,"โลเร็ม อิปซัม","Main sensing unit","EUR 120.00",CORE,invention-00
part-007,"لوريم إيبسوم","Main sensing unit","EUR 120.00",CORE,invention-00
part-008,"洛伦·伊普森","Main sensing unit","EUR 120.00",CORE,invention-00
part-009,"Very Long Part Name For Boundary Testing","Main sensing unit","EUR 120.00",CORE,invention-04
part-010,"<marquee>Case</marquee>","Main sensing unit","EUR 120.00",CORE,invention-04

# description - standard variations
part-011,"Sensor Core",A,"EUR 120.00",CORE,invention-04
part-012,"Sensor Core",AB,"EUR 120.00",CORE,invention-06
part-013,"Sensor Core","Primary sensing block","EUR 120.00",CORE,invention-06
part-014,"Sensor Core","Compact energy delivery module","EUR 120.00",CORE,invention-07
part-015,"Sensor Core","Protective enclosure for external use","EUR 120.00",CORE,invention-07
part-016,"Sensor Core","โลเร็ม อิปซัม","EUR 120.00",CORE,invention-07
part-017,"Sensor Core","لوريم إيبسوم","EUR 120.00",CORE,invention-08
part-018,"Sensor Core","洛伦·伊普森","EUR 120.00",CORE,invention-08
part-019,"Sensor Core","Detailed text used to test ordinary length constraints in the sample records","EUR 120.00",CORE,invention-09
part-020,"Sensor Core","<script>alert('x')</script>","EUR 120.00",CORE,invention-09

# cost - standard variations
part-021,"Sensor Core","Main sensing unit","EUR 0.00",CORE,invention-10
part-022,"Sensor Core","Main sensing unit","EUR 0.01",CORE,invention-10
part-023,"Sensor Core","Main sensing unit","EUR 1.00",CORE,invention-11
part-024,"Sensor Core","Main sensing unit","EUR 9.99",CORE,invention-11
part-025,"Sensor Core","Main sensing unit","EUR 10.00",CORE,invention-12
part-026,"Sensor Core","Main sensing unit","EUR 99.99",CORE,invention-12
part-027,"Sensor Core","Main sensing unit","EUR 100.00",CORE,invention-13
part-028,"Sensor Core","Main sensing unit","EUR 999.99",CORE,invention-13
part-029,"Sensor Core","Main sensing unit","EUR 1000000.00",CORE,invention-14
part-030,"Sensor Core","Main sensing unit","EUR 999999.99",CORE,invention-14

# kind - standard variations
part-031,"Sensor Core","Main sensing unit","EUR 120.00",CORE,invention-15
part-032,"Sensor Core","Main sensing unit","EUR 120.00",MANDATORY,invention-15
part-033,"Sensor Core","Main sensing unit","EUR 120.00",OPTIONAL,invention-15
part-034,"Battery Pack","Main sensing unit","EUR 120.00",CORE,invention-16
part-035,"Battery Pack","Main sensing unit","EUR 120.00",MANDATORY,invention-16
part-036,"Battery Pack","Main sensing unit","EUR 120.00",OPTIONAL,invention-16

# invention - standard variations
part-037,"Sensor Core","Main sensing unit","EUR 120.00",CORE,invention-17
part-038,"Sensor Core","Main sensing unit","EUR 120.00",CORE,invention-18
part-039,"Sensor Core","Main sensing unit","EUR 120.00",CORE,invention-19
part-040,"Sensor Core","Main sensing unit","EUR 120.00",CORE,invention-20
part-041,"Sensor Core","Main sensing unit","EUR 120.00",CORE,invention-21
part-042,"Sensor Core","Main sensing unit","EUR 120.00",CORE,invention-22
part-043,"Sensor Core","Main sensing unit","EUR 120.00",CORE,invention-23
part-044,"Sensor Core","Main sensing unit","EUR 120.00",CORE,invention-24
part-045,"Sensor Core","Main sensing unit","EUR 120.00",CORE,invention-25

# extra single-attribute variations to reach 50
part-046,"Filter Core","Main sensing unit","EUR 120.00",CORE,invention-17
part-047,"Sensor Core","Auxiliary support component","EUR 120.00",CORE,invention-18
part-048,"Sensor Core","Main sensing unit","EUR 250.00",CORE,invention-19
part-049,"Sensor Core","Main sensing unit","EUR 120.00",MANDATORY,invention-20

# additional realistic population
part-050,"Control Board","Embedded control unit","EUR 180.00",CORE,invention-21
part-051,"Telemetry Module","Wireless data transmission unit","EUR 75.00",MANDATORY,invention-21
part-052,"Mounting Frame","Mechanical support structure","EUR 42.00",OPTIONAL,invention-21

part-053,"Filter Chamber","Primary filtration body","EUR 140.00",CORE,invention-22
part-054,"Pressure Valve","Flow regulation valve","EUR 28.00",MANDATORY,invention-22
part-055,"Maintenance Kit","Replacement service accessories","EUR 22.00",OPTIONAL,invention-22

part-056,"Power Cell","High density energy cell","EUR 210.00",CORE,invention-23
part-057,"Charge Regulator","Battery regulation controller","EUR 55.00",MANDATORY,invention-23
part-058,"Cooling Jacket","Thermal protection sleeve","EUR 30.00",OPTIONAL,invention-23

part-059,"Flight Core","Autonomous navigation processor","EUR 260.00",CORE,invention-24
part-060,"GPS Array","Satellite positioning sensors","EUR 68.00",MANDATORY,invention-24
part-061,"Optical Camera","Auxiliary imaging component","EUR 90.00",OPTIONAL,invention-24
part-062,"Rotor Shield","Blade protection cover","EUR 24.00",OPTIONAL,invention-24

part-063,"Water Pump","Main water propulsion unit","EUR 95.00",CORE,invention-25
part-064,"Valve Controller","Electronic valve controller","EUR 40.00",MANDATORY,invention-25
part-065,"Humidity Probe","Ground humidity sensor","EUR 18.50",OPTIONAL,invention-25

part-066,"Scan Engine","Imaging capture engine","EUR 300.00",CORE,invention-26
part-067,"Display Panel","Diagnostic display module","EUR 88.00",MANDATORY,invention-26
part-068,"Transport Handle","Portable carry support","EUR 16.00",OPTIONAL,invention-26

part-069,"Engine Core","Combustion prototype block","EUR 350.00",CORE,invention-27
part-070,"Injection Kit","Fuel injection subsystem","EUR 135.00",MANDATORY,invention-27
part-071,"Noise Shield","Acoustic reduction shell","EUR 32.00",OPTIONAL,invention-27

part-072,"Purifier Core","Primary purification chamber","EUR 190.00",CORE,invention-28
part-073,"Pump Driver","Pump control electronics","EUR 58.00",MANDATORY,invention-28
part-074,"Mineral Cartridge","Optional mineral balancing unit","EUR 21.00",OPTIONAL,invention-28

part-075,"Impact Unit","Impact detection sensor","EUR 47.00",CORE,invention-29
part-076,"Alert Beacon","Emergency communication unit","EUR 36.00",MANDATORY,invention-29
part-077,"Visor Plus","Enhanced optical visor","EUR 29.00",OPTIONAL,invention-29

part-078,"Binder Compound","Eco binding mixture","EUR 98.00",CORE,invention-30
part-079,"Fiber Mesh","Structural reinforcement mesh","EUR 62.00",MANDATORY,invention-30
part-080,"Pigment Additive","Decorative color additive","EUR 14.00",OPTIONAL,invention-30

part-081,"Sensor Matrix","Multi-point sensor array","EUR 170.00",CORE,invention-31
part-082,"Power Bus","Internal power distribution bus","EUR 39.00",MANDATORY,invention-31

part-083,"Nano Capsule","Compact storage capsule","EUR 125.00",CORE,invention-32
part-084,"Safety Relay","Circuit protection relay","EUR 26.00",MANDATORY,invention-32

part-085,"Tracking Beacon","Location tracking module","EUR 44.00",CORE,invention-33
part-086,"Signal Booster","Range amplification component","EUR 31.00",MANDATORY,invention-33

part-087,"Mixing Tank","Primary mixing container","EUR 115.00",CORE,invention-34
part-088,"Flow Meter","Fluid monitoring meter","EUR 27.00",MANDATORY,invention-34

part-089,"Control Relay","Switching relay module","EUR 23.00",CORE,invention-35
part-090,"Service Port","Maintenance access interface","EUR 19.00",OPTIONAL,invention-35
